FirstName;LastName;age;City;State;StreetAddress;streetNumber
Benjamin;Monroe;81;Denver;Oregon;Santa Ana Freeway;57229
Andrew;Madison;41;Raleigh;South Dakota;Grandview Drive;19718
Andrew;Johnson;14;Boise;Pennsylvania;Harbor Dr;15479
Jimmy;Eisenhower;88;Montpelier;New Hampshire;Westside Freeway;70721
Benjamin;Adams;83;Cheyenne;Oregon;Carpinteria South;50003
Martin;Roosevelt;41;Lansing;New Mexico;Hutchinson Rd;1156
Abraham;Quincy;77;Hartford;Louisiana;Via Real;52939
James;Cleveland;62;Trenton;New Mexico;Bailard Avenue;90813
Thomas;Kennedy;78;Austin;New Mexico;French Camp Turnpike Road;96511
Theodore;Hoover;93;Santa Fe;Delaware;East Main Street;34234
Zachary;Clinton;23;Albany;West Virginia;Corona Del Mar;92665
Bill;Hayes;29;Baton Rouge;Illinois;Harbor Dr;96919
Ronald;Harrison;79;Lansing;Florida;East Calle Primera;13137
Dwight;Arthur;33;Dover;Kansas;San Simeon;75889
Chester;Taft;89;Salem;California;W. Russell St.;88117
John;Hoover;97;Santa Fe;Wisconsin;Bowles Avenue;90939
Andrew;Cleveland;74;Olympia;Florida;Santa Rosa North;35955
Millard;Washington;100;Providence;New York;South Roosevelt Drive;95425
Gerald;Madison;71;Pierre;Delaware;Cleveland Ave.;89281
Jimmy;Harding;99;Madison;Tennessee;South Highway;3613
George;Cleveland;42;Boise;Florida;Hutchinson Rd;92693
Warren;Roosevelt;47;Madison;Wisconsin;Bayshore Freeway;87242
Warren;Johnson;43;Springfield;Arkansas;Burnett Road;45112
Martin;Buchanan;22;Boston;New Jersey;French Camp Turnpike Road;34580
John;Quincy;51;Juneau;California;El Camino Real;36187
Theodore;Roosevelt;75;Trenton;Maryland;San Luis Obispo North;89384
Abraham;Jefferson;96;Honolulu;Georgia;Camelback Rd;93919
Millard;Lincoln;61;Pierre;New Mexico;Grandview Drive;79382
Andrew;Truman;66;Providence;Pennsylvania;San Simeon;81903
James;Hayes;60;Tallahassee;North Dakota;El Camino Real;99452
Herbert;Coolidge;94;Olympia;Iowa;Via Real;94508
Richard;Cleveland;56;Denver;Minnesota;Fontaine Road;65058
James;Washington;18;Phoenix;Texas;Cabrillo Highway;30541
Warren;Adams;56;Topeka;Massachusetts;Milpas Street;88902
Jimmy;Nixon;100;Lincoln;Wisconsin;Timberlane Drive;37699
George;Arthur;26;Raleigh;Kentucky;North Atherton Street;36450
Warren;Grant;100;Salt Lake City;Maine;East Calle Primera;16916
Dwight;Roosevelt;32;Baton Rouge;North Dakota;San Ysidro Blvd;73113
Benjamin;Jefferson;48;Saint Paul;Iowa;San Ysidro Blvd;36518
Millard;Grant;64;Augusta;Pennsylvania;Hutchinson Rd;52558
Jimmy;Jackson;30;Helena;Connecticut;Tanger Blvd;8509
Benjamin;Garfield;96;Salem;Iowa;Greenwood Road;97791
Calvin;Clinton;100;Richmond;Mississippi;Bowles Avenue;23970
Gerald;Washington;57;Topeka;South Dakota;Carpinteria North;66515
Jimmy;Eisenhower;38;Jackson;Idaho;Pacific Hwy S;81031
Abraham;Harding;16;Lansing;Kansas;East Calle Primera;52428
George;Nixon;28;Raleigh;California;Santa Rosa South;89686
Grover;Roosevelt;93;Lincoln;Louisiana;Lawrenceville Suwanee;73702
James;Roosevelt;62;Hartford;Maryland;Hutchinson Rd;24259
Woodrow;Clinton;81;Lincoln;Arizona;Bailard Avenue;18459
Warren;Cleveland;65;Harrisburg;Montana;El Camino Real;61093
Martin;Hayes;63;Honolulu;California;Santa Rosa North;20529
Benjamin;Coolidge;53;Frankfort;Kentucky;Carpinteria Avenue;79121
George;Van Buren;84;Salem;California;Lawrenceville Suwanee;3634
William;Adams;19;Montgomery;Nevada;Westside Freeway;80935
Dwight;Carter;70;Austin;Rhode Island;Fairview Avenue;71107
Martin;Wilson;69;Carson City;Missouri;W. Russell St.;76689
Woodrow;Fillmore;30;Olympia;Iowa;Tully Road East;4843
Bill;Carter;99;Jefferson City;Maryland;Santa Rosa North;51039
Andrew;Garfield;17;Frankfort;Colorado;Greenwood Road;30757
Herbert;Van Buren;44;Providence;Utah;Burnett Road;41183
Abraham;Buchanan;23;Salem;Arizona;Camelback Rd;79216
Herbert;Hoover;82;Albany;Iowa;Pacific Hwy S;2156
Herbert;Quincy;29;Nashville;Connecticut;Pacific Hwy S;23795
Theodore;Hoover;26;Charleston;Minnesota;El Camino Real;32502
Harry;Harrison;15;Raleigh;Tennessee;Apalachee Parkway;87809
Grover;Kennedy;44;Phoenix;Washington;Carpinteria North;11539
Ulysses;Harding;27;Des Moines;Colorado;W. Russell St.;18488
John;Buchanan;82;Santa Fe;Arkansas;San Ysidro Blvd;39057
Bill;Harrison;72;Nashville;Arkansas;Jean de la Fontaine;7525
Calvin;Harding;43;Trenton;Alaska;Via Real;23596
Ronald;Grant;45;Charleston;Alabama;S Rustle St;84297
Ronald;Taft;56;Oklahoma City;New Jersey;San Ysidro Blvd;88786
Franklin;Ford;65;Providence;South Carolina;North Ventu Park Road;85132
Herbert;Coolidge;33;Sacramento;Hawaii;Cerrillos Road;34521
Andrew;McKinley;66;Salt Lake City;Indiana;N Harrison St;55762
Jimmy;Washington;68;Boston;Louisiana;N Kentwood;25253
Chester;Washington;76;Augusta;Alaska;San Luis Obispo North;32386
Warren;Pierce;55;Columbia;Massachusetts;Bayshore Freeway;79277
Rutherford;Clinton;39;Trenton;Alabama;San Marcos;63336
George;Johnson;61;Boise;Missouri;S Rustle St;96600
Lyndon;Roosevelt;25;Juneau;Iowa;East Main Street;33149
Ulysses;Hoover;84;Boston;Oregon;Westside Freeway;8567
Lyndon;Monroe;59;Trenton;Kansas;East Fry Blvd.;74463
Ronald;Hayes;28;Austin;Alaska;Castillo Drive;27897
Theodore;Wilson;30;Denver;Indiana;El Camino Real;52342
Theodore;Adams;90;Atlanta;Kansas;Steele Lane;64677
Grover;Adams;93;Montpelier;West Virginia;Harry S Truman Blvd;67920
Bill;Monroe;37;Albany;Utah;Lake Tahoe Blvd.;92022
Bill;Polk;18;Boston;Montana;Katella Avenue;2224
Chester;Clinton;23;Augusta;New Mexico;E Fowler Avenue;58116
Richard;Arthur;100;Annapolis;Pennsylvania;Milpas Street;41136
Abraham;Adams;53;Topeka;Oklahoma;Via Real;60765
Woodrow;Taylor;38;Dover;Nebraska;San Diego Freeway;34105
Thomas;Fillmore;77;Des Moines;Maryland;Redwood Highway;11898
Millard;Johnson;82;Juneau;Kansas;San Luis Obispo North;23729
Woodrow;Hayes;17;Salt Lake City;Idaho;North Broadway Street;6165
Andrew;Nixon;57;Providence;Delaware;Cerrillos Road;83103
Calvin;Jefferson;75;Dover;Massachusetts;San Simeon;77172
John;McKinley;59;Richmond;Georgia;San Diego Freeway;40900
Rutherford;Madison;77;Frankfort;Utah;Padre Boulevard;32398
Bill;Taylor;97;Cheyenne;Kansas;Padre Boulevard;99847
Benjamin;Garfield;81;Columbus;Maine;Harbor Dr;32573
Rutherford;Monroe;76;Topeka;Nebraska;Greenwood Road;37638
Calvin;Fillmore;91;Boise;Maryland;San Simeon;50635
Martin;Wilson;29;Carson City;Arizona;E Fowler Avenue;56300
Warren;Harrison;48;Augusta;Tennessee;Hutchinson Rd;60217
John;Adams;46;Richmond;Nevada;San Luis Obispo North;38804
Benjamin;Kennedy;94;Austin;North Carolina;Greenwood Road;63281
Richard;Washington;36;Jackson;Massachusetts;Cleveland Ave.;12946
Rutherford;Monroe;16;Columbus;Utah;Via Real;43743
Benjamin;McKinley;38;Boston;New Hampshire;San Diego Freeway;81250
Harry;Carter;82;Concord;Wisconsin;Carpinteria North;99928
Warren;Tyler;15;Atlanta;Pennsylvania;French Camp Turnpike Road;81582
Theodore;Harrison;14;Olympia;Nebraska;Harbor Dr;58092
Harry;Van Buren;78;Denver;Maryland;San Simeon;11992
Woodrow;McKinley;95;Des Moines;New York;E Fowler Avenue;45065
Millard;Hoover;54;Springfield;Mississippi;Carpinteria South;11762
Lyndon;Ford;90;Juneau;North Carolina;Lindbergh Blvd;16917
Benjamin;Roosevelt;36;Jackson;Minnesota;North Broadway Street;1280
Ulysses;Buchanan;78;Albany;Iowa;Carpinteria South;17232
Grover;Grant;53;Olympia;Illinois;Woodson Rd.;69712
George;Arthur;15;Lincoln;Mississippi;Richmond Hill;11570
Theodore;Monroe;22;Saint Paul;New Mexico;Santa Ana Freeway;71031
Thomas;Coolidge;35;Topeka;Iowa;Lake Tahoe Blvd.;826
Chester;McKinley;81;Oklahoma City;Arkansas;North Preisker Lane;66098
Franklin;Ford;24;Salt Lake City;Maryland;Lake Tahoe Blvd.;15584
Theodore;Clinton;62;Oklahoma City;Georgia;Tanger Blvd;87667
Franklin;Jefferson;50;Augusta;Maine;Camelback Rd;95123
Rutherford;Van Buren;35;Jackson;Arkansas;Lindbergh Blvd;23517
Jimmy;Clinton;24;Bismarck;Louisiana;N Kentwood;40346
Bill;Kennedy;45;Austin;Minnesota;East Main Street;13769
Lyndon;Eisenhower;92;Sacramento;North Dakota;Katella Avenue;30335
Grover;Grant;66;Richmond;Texas;South Roosevelt Drive;55919
Gerald;Cleveland;19;Bismarck;Florida;Erringer Road;11380
Millard;Reagan;37;Springfield;Washington;Erringer Road;55269
Warren;Roosevelt;61;Montgomery;Iowa;East Main Street;7666
Andrew;Carter;31;Little Rock;Wyoming;Cerrillos Road;60411
Harry;Buchanan;59;Sacramento;Ohio;Via Real;90199
Bill;Johnson;62;Charleston;Mississippi;Katella Avenue;80072
Richard;Washington;14;Santa Fe;Texas;E Fowler Avenue;49330
Lyndon;Wilson;100;Raleigh;Iowa;Richmond Hill;96955
Ronald;Clinton;21;Carson City;Arizona;Calle Real;94162
Chester;Monroe;77;Salem;South Dakota;Cerrillos Road;19988
Jimmy;Eisenhower;31;Oklahoma City;Massachusetts;San Ysidro Blvd;95355
Millard;Roosevelt;22;Lincoln;Rhode Island;Padre Boulevard;53488
Thomas;Eisenhower;74;Madison;North Dakota;North Erringer Road;66040
Warren;Nixon;21;Phoenix;Vermont;Harry S Truman Blvd;818
James;Polk;43;Topeka;Mississippi;San Luis Obispo North;56776
William;Harrison;70;Springfield;California;W. Russell St.;62801
Herbert;Tyler;93;Montgomery;Mississippi;South Highway;16227
Andrew;Harrison;84;Jackson;Kansas;Lawrenceville Suwanee;75201
Franklin;Polk;83;Sacramento;Maine;Steele Lane;29430
Woodrow;Eisenhower;83;Austin;Nebraska;Padre Boulevard;53272
Franklin;Washington;17;Boise;Texas;Santa Ana Freeway;3593
William;McKinley;94;Springfield;Alaska;Santa Ana Freeway;59474
James;Fillmore;67;Lansing;Oregon;Milpas Street;89086
Lyndon;Jackson;59;Saint Paul;Georgia;Pacific Hwy S;78105
Calvin;Clinton;70;Annapolis;North Carolina;Burnett Road;35884
Millard;Harding;96;Lansing;Alaska;North Preisker Lane;99352
Rutherford;Fillmore;53;Boise;Rhode Island;N Kentwood;27008
Benjamin;Jackson;48;Jefferson City;Connecticut;Jones Road;77252
William;Tyler;54;Olympia;Missouri;Jones Road;57440
Rutherford;Roosevelt;44;Jefferson City;North Carolina;Fairview Avenue;9657
George;Harrison;59;Boise;Nebraska;North Ventu Park Road;45304
Jimmy;Fillmore;19;Little Rock;Pennsylvania;French Camp Turnpike Road;82476
Grover;Quincy;53;Nashville;Wisconsin;Newbury Road;50651
Martin;Harrison;56;Hartford;Wyoming;Lake Tahoe Blvd.;50554
James;Cleveland;96;Montpelier;Indiana;East 1st Street;13557
George;Lincoln;66;Bismarck;South Carolina;Burnett Road;79311
Andrew;Carter;99;Topeka;New Mexico;S Rustle St;8163
William;Polk;91;Columbus;Florida;Fontaine Road;17004
James;Fillmore;69;Bismarck;North Carolina;Katella Avenue;92220
Woodrow;Reagan;55;Atlanta;Iowa;North Preisker Lane;89704
Millard;Taylor;26;Boston;Virginia;East Calle Primera;35279
Bill;Truman;35;Helena;Alaska;Santa Monica Road;29071
Ulysses;Madison;58;Juneau;Illinois;Santa Ana Freeway;54153
Herbert;Johnson;20;Indianapolis;Iowa;Moreno Drive;36145
Thomas;Washington;79;Tallahassee;New Jersey;Fontaine Road;16314
Thomas;Kennedy;68;Baton Rouge;Florida;Carpinteria North;18732
Rutherford;Monroe;80;Montpelier;Kentucky;North Erringer Road;83410
Woodrow;Cleveland;70;Trenton;Washington;Carpinteria South;91912
Bill;Adams;42;Olympia;North Carolina;Calle Real;24856
Theodore;Polk;74;Tallahassee;Idaho;N Harrison St;13543
John;Truman;22;Charleston;Illinois;French Camp Turnpike Road;47
Martin;Jackson;28;Juneau;Hawaii;Pacific Hwy S;12794
Andrew;Nixon;28;Hartford;California;Monroe Street;75960
Bill;Wilson;32;Denver;Florida;South Roosevelt Drive;19234
Millard;Roosevelt;42;Salt Lake City;Florida;N Harrison St;51182
Jimmy;Grant;69;Phoenix;Washington;Bailard Avenue;83242
William;McKinley;79;Raleigh;South Dakota;S Rustle St;8222
William;Hoover;89;Annapolis;Vermont;San Luis Obispo North;1797
Calvin;Adams;97;Providence;South Carolina;South Roosevelt Drive;21983
James;Van Buren;41;Annapolis;Vermont;North Erringer Road;94388
Warren;Taft;16;Frankfort;Massachusetts;Carpinteria South;45525
Benjamin;Fillmore;17;Atlanta;Pennsylvania;Timberlane Drive;65074
Franklin;Hoover;92;Montgomery;New Jersey;North Ventu Park Road;55410
Bill;Nixon;73;Juneau;Hawaii;Tanger Blvd;2692
Martin;Harrison;95;Tallahassee;Arizona;Harbor Dr;21920
John;Eisenhower;14;Denver;Arkansas;Monroe Street;12118
Chester;Lincoln;66;Denver;Florida;Katella Avenue;26799
Dwight;Taft;32;Juneau;Arkansas;North Preisker Lane;96225
Richard;Jefferson;78;Bismarck;North Carolina;Bailard Avenue;58665
Benjamin;Hayes;52;Augusta;West Virginia;Jean de la Fontaine;67753
Millard;Harding;99;Frankfort;Connecticut;Katella Avenue;98248
Ulysses;Jefferson;45;Augusta;Oregon;Fairview Avenue;20701
Thomas;Ford;51;Indianapolis;South Carolina;Greenwood Road;59929
Ronald;Harding;72;Carson City;Texas;Redwood Highway;25839
Thomas;Fillmore;54;Jackson;Nebraska;Harbor Dr;78750
Bill;Adams;31;Charleston;Alaska;Erringer Road;89278
James;Harrison;24;Boise;Massachusetts;Fontaine Road;42914
William;Van Buren;15;Nashville;Massachusetts;Carpinteria Avenue;67580
Herbert;Madison;52;Juneau;Minnesota;W. Russell St.;38701
Ulysses;Jackson;40;Frankfort;South Dakota;Carpinteria North;19114
Calvin;Wilson;18;Dover;Missouri;San Ysidro Blvd;39413
Martin;Nixon;57;Boston;Wisconsin;Grandview Drive;77095
Calvin;Washington;14;Charleston;Oklahoma;Camelback Rd;72071
Dwight;Jefferson;85;Frankfort;Idaho;Burnett Road;3249
Lyndon;Jefferson;51;Bismarck;Arizona;Cleveland Ave.;98836
Warren;Adams;38;Denver;New Mexico;Tully Road East;57031
Warren;Harrison;65;Juneau;Hawaii;North Broadway Street;66039
James;Carter;52;Lincoln;Alabama;El Camino Real;39104
James;Truman;24;Nashville;South Dakota;San Simeon;87707
William;Reagan;30;Raleigh;Alabama;Santa Rosa North;20623
Ronald;Grant;81;Phoenix;Massachusetts;Erringer Road;26239
Chester;Clinton;42;Baton Rouge;Maryland;East Main Street;94275
Andrew;Eisenhower;51;Tallahassee;Washington;Camelback Rd;17421
Gerald;Buchanan;43;Salem;New Hampshire;Padre Boulevard;6945
Grover;Reagan;62;Frankfort;Maine;North Atherton Street;16043
Jimmy;Washington;90;Providence;Nevada;North Preisker Lane;96690
Grover;Wilson;51;Baton Rouge;Mississippi;Timberlane Drive;40792
Benjamin;Harding;38;Boise;Wisconsin;Santa Monica Road;33439
Martin;Nixon;99;Richmond;Tennessee;Calle Real;443
Thomas;Adams;52;Frankfort;Hawaii;Santa Monica Road;89411
Rutherford;Wilson;78;Santa Fe;Vermont;Hutchinson Rd;38433
Zachary;Hoover;34;Raleigh;Louisiana;Tully Road East;63912
John;Pierce;38;Frankfort;New Mexico;North Atherton Street;39058
Rutherford;Coolidge;79;Little Rock;Pennsylvania;Lake Tahoe Blvd.;90450
Millard;Buchanan;65;Indianapolis;Indiana;French Camp Turnpike Road;68479
Gerald;Taft;69;Juneau;Arizona;Newbury Road;31284
Grover;Harrison;47;Hartford;Texas;Milpas Street;48727
Millard;Jackson;16;Augusta;Montana;Tanger Blvd;44968
James;Grant;87;Columbus;Mississippi;North Erringer Road;77494
James;Quincy;28;Hartford;New Jersey;Tully Road East;12228
John;Reagan;80;Indianapolis;Montana;Corona Del Mar;53850
George;Quincy;74;Dover;Idaho;Fairview Avenue;51025
Thomas;Nixon;89;Topeka;Massachusetts;Greenwood Road;66550
James;Roosevelt;96;Montpelier;South Dakota;Grandview Drive;5672
John;Harrison;68;Baton Rouge;Iowa;Lindbergh Blvd;62301
Jimmy;Polk;22;Madison;Louisiana;South Highway;80842
Millard;Harrison;48;Madison;Pennsylvania;Harbor Dr;74589
William;Harding;85;Austin;Connecticut;East 1st Street;18756
Jimmy;Harrison;97;Juneau;Florida;El Camino Real;46238
Warren;Monroe;91;Columbia;South Carolina;Tully Road East;7049
Ulysses;Jefferson;67;Salt Lake City;Pennsylvania;Monroe Street;81070
Rutherford;Hoover;62;Nashville;New Hampshire;Santa Ana Freeway;12407
Martin;Buchanan;45;Richmond;Arkansas;E Fowler Avenue;70492
Warren;Adams;57;Nashville;New Jersey;Santa Monica Road;77943
Richard;Hoover;76;Jefferson City;Idaho;Jones Road;41753
Bill;Kennedy;49;Lincoln;New York;Calle Real;4067
John;Carter;64;Dover;Nebraska;N Harrison St;96498
Martin;Arthur;62;Madison;Washington;Redwood Highway;67090
Dwight;Jefferson;32;Lincoln;Ohio;Padre Boulevard;55137
Jimmy;Madison;40;Olympia;Kansas;North Broadway Street;67437
James;Roosevelt;72;Providence;Connecticut;French Camp Turnpike Road;96842
Zachary;Harrison;42;Little Rock;Wyoming;Steele Lane;50809
Herbert;Wilson;72;Raleigh;Nevada;South Roosevelt Drive;12672
Andrew;Madison;23;Hartford;Arizona;E Fowler Avenue;8219
Jimmy;Jefferson;88;Augusta;North Carolina;North Broadway Street;44512
Millard;Ford;66;Honolulu;Illinois;North Ventu Park Road;42232
Harry;Roosevelt;77;Carson City;Georgia;East Calle Primera;13260
Franklin;Buchanan;57;Denver;Pennsylvania;San Marcos;30898
Dwight;Washington;86;Oklahoma City;Tennessee;Richmond Hill;91811
Calvin;Fillmore;56;Tallahassee;Rhode Island;Santa Monica Road;32543
James;Adams;44;Trenton;Arizona;North Atherton Street;21921
Theodore;Ford;29;Richmond;Pennsylvania;Cleveland Ave.;44524
Gerald;Hayes;77;Columbia;Nebraska;Jones Road;26653
Ronald;Arthur;78;Juneau;Alaska;W. Russell St.;58889
Lyndon;Garfield;94;Indianapolis;Maine;W. Russell St.;23647
Chester;Jefferson;90;Springfield;Idaho;Hutchinson Rd;85197
Andrew;Lincoln;25;Providence;Wyoming;Harbor Dr;88586
Grover;Harrison;54;Little Rock;Washington;Milpas Street;34166
Benjamin;Wilson;20;Topeka;Utah;Fontaine Road;66589
Thomas;Grant;87;Montpelier;Washington;Lake Tahoe Blvd.;59675
Ulysses;Tyler;40;Cheyenne;Vermont;El Camino Real;43392
James;Jefferson;29;Columbia;New Jersey;Santa Rosa North;36472
Grover;Hayes;44;Topeka;Washington;North Erringer Road;3599
Harry;Pierce;42;Atlanta;Texas;South Highway;38014
George;Adams;69;Albany;Arizona;Calle Real;53483
Chester;Roosevelt;94;Juneau;Oklahoma;Tully Road East;65502
Richard;McKinley;81;Dover;South Dakota;Fontaine Road;28018
Bill;Coolidge;65;Indianapolis;Wyoming;Cleveland Ave.;43581
Herbert;Tyler;45;Pierre;New Mexico;Calle Real;41603
Calvin;Johnson;86;Topeka;South Dakota;North Preisker Lane;29516
John;Adams;60;Frankfort;Kentucky;Redwood Highway;58267
Grover;Arthur;82;Hartford;Georgia;Jones Road;6067
Rutherford;Jefferson;85;Atlanta;Alaska;Milpas Street;27407
Warren;Garfield;69;Olympia;Utah;Bailard Avenue;29698
Thomas;Grant;88;Sacramento;New Hampshire;E Fowler Avenue;56375
Herbert;Ford;84;Topeka;Montana;Timberlane Drive;57276
James;Adams;38;Helena;Massachusetts;Burnett Road;20565
George;Grant;63;Honolulu;Virginia;Burnett Road;58875
Herbert;Buchanan;62;Helena;New Mexico;S Rustle St;67996
Ulysses;Polk;55;Salem;Rhode Island;Carpinteria South;60508
John;Clinton;69;Montpelier;Oklahoma;Cerrillos Road;79874
Calvin;Buchanan;26;Montpelier;Louisiana;South Roosevelt Drive;28492
Rutherford;Reagan;92;Annapolis;South Carolina;Greenwood Road;45829
Grover;Clinton;59;Helena;Wyoming;Cerrillos Road;72266
William;Monroe;84;Montgomery;Michigan;Cabrillo Highway;95620
John;Kennedy;98;Saint Paul;Michigan;S Rustle St;81598
Warren;Harrison;64;Jefferson City;New Hampshire;Castillo Drive;64495
William;Taylor;49;Helena;Texas;East Fry Blvd.;39800
Andrew;Adams;42;Dover;Illinois;Fairview Avenue;22078
Benjamin;Buchanan;94;Albany;Tennessee;Grandview Drive;40348
George;Tyler;93;Pierre;New Jersey;El Camino Real;53028
William;Ford;93;Montgomery;California;E Fowler Avenue;39655
Ronald;Clinton;37;Concord;Kansas;W. Russell St.;78510
Franklin;Quincy;67;Juneau;Oklahoma;East Calle Primera;74082
Richard;Taylor;18;Juneau;North Carolina;North Ventu Park Road;61065
Grover;Johnson;91;Boise;Arkansas;North Preisker Lane;60942
Grover;Grant;27;Oklahoma City;West Virginia;Newbury Road;50465
Ronald;Washington;16;Boise;Massachusetts;Milpas Street;58543
Gerald;Jefferson;97;Providence;New Hampshire;North Atherton Street;36632
Calvin;Van Buren;85;Columbia;Texas;North Erringer Road;32433
Millard;Garfield;50;Harrisburg;Nebraska;Santa Rosa South;58331
Chester;Truman;94;Richmond;Florida;San Diego Freeway;28136
George;Taft;64;Pierre;Ohio;Corona Del Mar;27122
Millard;Van Buren;48;Columbus;Ohio;W. Russell St.;84903
Woodrow;Jefferson;86;Springfield;Oklahoma;East 1st Street;17338
Grover;Buchanan;52;Montgomery;Maine;Timberlane Drive;1345
Theodore;Johnson;53;Salem;Pennsylvania;North Erringer Road;20631
Harry;Quincy;45;Little Rock;Vermont;North Ventu Park Road;29267
Grover;Johnson;90;Annapolis;New Hampshire;Camelback Rd;92128
Thomas;Taylor;93;Concord;North Carolina;Lindbergh Blvd;84539
Herbert;Van Buren;95;Dover;Pennsylvania;Redwood Highway;22243
John;Johnson;14;Lincoln;Hawaii;Hutchinson Rd;17117
Ulysses;Taylor;27;Concord;Michigan;Tully Road East;49928
Dwight;McKinley;76;Des Moines;Kentucky;Richmond Hill;31363
James;Johnson;47;Columbus;North Dakota;North Erringer Road;9187
Zachary;Wilson;52;Baton Rouge;Washington;Camelback Rd;33167
Thomas;Harding;90;Harrisburg;New Hampshire;North Atherton Street;39098
Ulysses;Clinton;66;Springfield;Massachusetts;Bailard Avenue;53726
Andrew;Fillmore;48;Lansing;Wisconsin;N Harrison St;29979
Zachary;Washington;51;Baton Rouge;Missouri;Harbor Dr;48900
Jimmy;Grant;50;Frankfort;Utah;Santa Rosa South;64468
Abraham;Harrison;61;Helena;Washington;Milpas Street;46208
Warren;Taft;26;Dover;Connecticut;Harry S Truman Blvd;5721
Ulysses;Carter;71;Atlanta;New Mexico;Lake Tahoe Blvd.;43373
Chester;Eisenhower;82;Springfield;Minnesota;French Camp Turnpike Road;97378
Jimmy;Buchanan;81;Trenton;Nebraska;Santa Monica Road;98181
Jimmy;Harding;68;Indianapolis;Mississippi;Santa Monica Road;56665
James;Ford;30;Providence;South Carolina;Monroe Street;70659
Lyndon;Polk;52;Indianapolis;Wisconsin;Calle Real;46707
Benjamin;Buchanan;38;Frankfort;New Jersey;East Fry Blvd.;27543
Rutherford;Cleveland;96;Oklahoma City;Delaware;Monroe Street;14000
James;Van Buren;20;Saint Paul;Louisiana;S Rustle St;23842
Thomas;Jackson;64;Tallahassee;Kentucky;Redwood Highway;27427
Richard;Pierce;47;Helena;Iowa;Santa Ana Freeway;76185
Calvin;Jackson;68;Harrisburg;Idaho;Lake Tahoe Blvd.;85453
Andrew;Roosevelt;49;Bismarck;Connecticut;Santa Ana Freeway;12733
Millard;Hoover;34;Trenton;Illinois;Timberlane Drive;95383
Richard;Hayes;83;Nashville;Kentucky;Via Real;60658
John;Quincy;95;Madison;North Carolina;North Preisker Lane;23935
Harry;Cleveland;72;Tallahassee;North Dakota;Newbury Road;36666
Andrew;Nixon;48;Des Moines;Massachusetts;North Broadway Street;70949
James;Arthur;86;Richmond;Oregon;North Erringer Road;71489
Chester;Hayes;61;Austin;Ohio;E Fowler Avenue;819
George;Hayes;51;Austin;Tennessee;North Erringer Road;94741
Dwight;Taft;76;Concord;Indiana;North Broadway Street;50122
Martin;Monroe;91;Baton Rouge;Maryland;Corona Del Mar;61660
Benjamin;Johnson;42;Annapolis;Colorado;Milpas Street;9847
Benjamin;Madison;67;Indianapolis;Michigan;El Camino Real;33815
Andrew;Wilson;61;Carson City;Ohio;Redwood Highway;99384
Bill;Washington;88;Madison;Virginia;Timberlane Drive;58553
Gerald;Harding;52;Boston;Arizona;South Roosevelt Drive;23763
Martin;Polk;39;Oklahoma City;Minnesota;Cerrillos Road;89300
Martin;Kennedy;21;Nashville;South Carolina;East Main Street;50245
Grover;Kennedy;40;Austin;Rhode Island;Bowles Avenue;74406
Ronald;Reagan;46;Lansing;Ohio;North Preisker Lane;93916
Ronald;Truman;56;Trenton;Vermont;North Atherton Street;25532
James;Nixon;91;Sacramento;Colorado;Cerrillos Road;50923
Millard;Adams;84;Sacramento;Delaware;Carpinteria North;77942
Calvin;Reagan;17;Trenton;Illinois;Carpinteria Avenue;22950
Warren;Jackson;51;Honolulu;Nevada;Jones Road;30944
Andrew;Buchanan;65;Cheyenne;Texas;Fontaine Road;95985
Lyndon;Jefferson;20;Austin;Nevada;E Fowler Avenue;24265
Grover;Madison;93;Jackson;Montana;Steele Lane;52565
Herbert;Jefferson;32;Helena;Michigan;Westside Freeway;68760
Franklin;Jefferson;45;Concord;Florida;San Simeon;40029
Richard;Monroe;56;Richmond;Texas;Bayshore Freeway;21495
Millard;Coolidge;50;Pierre;Illinois;Via Real;92007
Theodore;Tyler;54;Denver;Louisiana;South Highway;26145
Gerald;Arthur;94;Charleston;Mississippi;North Erringer Road;8582
Lyndon;Hoover;71;Charleston;Louisiana;Cleveland Ave.;40841
Thomas;Garfield;76;Baton Rouge;West Virginia;Erringer Road;68491
William;Fillmore;48;Lansing;California;Lawrenceville Suwanee;43957
James;Quincy;98;Boston;Louisiana;Greenwood Road;48476
Herbert;Clinton;91;Jefferson City;Virginia;Monroe Street;51871
George;Johnson;94;Columbia;Minnesota;S Rustle St;8241
Calvin;Hoover;89;Columbia;California;Woodson Rd.;45258
Harry;Ford;50;Indianapolis;New Mexico;Burnett Road;10737
James;Van Buren;41;Des Moines;Utah;French Camp Turnpike Road;86756
Ulysses;Roosevelt;24;Lincoln;Arkansas;Santa Monica Road;56109
Jimmy;Adams;24;Columbia;Nevada;San Simeon;13645
Ulysses;Grant;72;Honolulu;West Virginia;North Preisker Lane;31860
George;Harrison;60;Jefferson City;New York;Fontaine Road;6092
John;Van Buren;85;Saint Paul;Minnesota;Carpinteria South;12972
Gerald;Harrison;78;Columbia;Montana;Camelback Rd;2274
Ronald;Harrison;82;Denver;Utah;Grandview Drive;73933
Gerald;Fillmore;35;Annapolis;South Dakota;E Fowler Avenue;54601
Benjamin;Buchanan;46;Charleston;Maryland;Castillo Drive;13106
Abraham;Pierce;64;Nashville;Mississippi;Grandview Drive;81074
Dwight;Coolidge;91;Columbia;Oklahoma;Harbor Dr;582
